accuracy,precision,recall,f1,roc_auc,combination
0.8167682926829268,0.1694915254237288,0.03824091778202677,0.062402496099843996,0.5231370036014705,agg+prefix
0.8003048780487805,0.18571428571428572,0.0745697896749522,0.10641200545702592,0.5628918844505659,agg+state
0.8402439024390244,0.0,0.0,0.0,0.540792046111029,agg+knn
0.8411585365853659,0.6666666666666666,0.0076481835564053535,0.015122873345935728,0.5061404622060585,last+prefix
0.8411585365853659,1.0,0.0038240917782026767,0.007619047619047619,0.5536465149374684,last+state
0.8338414634146342,0.2708333333333333,0.0248565965583174,0.04553415061295972,0.5508301136477911,last+knn
0.8571428571428571,0.0,0.0,0.0,0.5259353741496599,index+prefix
0.8571428571428571,0.0,0.0,0.0,0.5034013605442177,index+state
0.8571428571428571,0.0,0.0,0.0,0.5269982993197279,index+knn
