trial,bucketer,encoder,model_type,lstm_units,conv_filters,kernel_size,dropout,lr,batch_size,epochs,class_weight_pos,threshold,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_pr_auc,val_mcc,val_best_threshold,val_best_f1_on_val,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_pr_auc,test_mcc,score
4,none,index,bilstm,64,64,2,0.24730402253570768,0.00011173094835518406,32,19,7.983839142697521,0.6733178613450548,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.5790077373862653,0.5548413040982365,0.0865675531234286,0.641554594039917,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5529028433662082,0.512002839563915,0.05162148486956307,0.5515098370884864
5,none,index,bilstm,128,32,3,0.33417306755750587,0.00018426302654673483,32,10,9.65867976894749,0.6381772998385011,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.5705985809835796,0.5401592012196019,0.0865675531234286,0.8757990598678589,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5585503704076094,0.5198255499591005,0.05162148486956307,0.5569857343651163
11,state,index,cnn_lstm,256,32,2,0.3378560234377647,0.0022698415160241087,32,30,1.3958693437394927,0.40773335939053,0.5011029411764706,0.5011029411764706,1.0,0.6676463384766104,0.5719659103012503,0.5475750851252004,0.0,0.5320630669593811,0.6676463384761656,0.48106971153846156,0.48106971153846156,1.0,0.649624670318523,0.5587049857012499,0.5190625751825363,0.0,0.5582312037233322
12,state,index,bilstm,256,32,2,0.10246941691659985,0.002617888164585618,32,29,1.324277688792318,0.37831707995044267,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.57008711655712,0.5400900375167902,0.0865675531234286,0.5020689964294434,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.558911320262705,0.5200090582473246,0.05162148486956307,0.5571141901668731
13,state,index,cnn_lstm,256,32,2,0.3687790524871001,0.0027418812243176975,32,30,1.4986149069818193,0.42711771834649415,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.5720088927768355,0.545779344419884,0.0865675531234286,0.5603537559509277,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5586932313222013,0.519155133027962,0.05162148486956307,0.5565164425133194
14,state,index,bilstm,256,32,2,0.3833128111004566,0.0010722732704863578,32,30,1.01497613867457,0.4066574099487837,0.5011029411764706,0.5011029411764706,1.0,0.6676463384766104,0.5672221588448473,0.5392024816857547,0.0,0.421046644449234,0.6676463384761656,0.48106971153846156,0.48106971153846156,1.0,0.649624670318523,0.5585820168127404,0.5198442216423352,0.0,0.5587783562451916
15,state,index,cnn_lstm,256,32,2,0.3882675357290554,0.0007665412612986426,32,25,2.5822277251744703,0.5331590330341371,0.5011029411764706,0.5011029411764706,1.0,0.6676463384766104,0.5733205341072702,0.5490611302048796,0.0,0.6901868581771851,0.6676463384761656,0.48106971153846156,0.48106971153846156,1.0,0.649624670318523,0.5584187213622638,0.5187993282524886,0.0,0.558046930872299
16,none,index,cnn_lstm,128,32,2,0.42811422612235533,0.0012962344817194543,32,17,2.5903691732194094,0.4423793666692906,0.5216911764705883,0.5121378230227095,0.9596478356566398,0.6678580546336482,0.573638171898544,0.5488347563954655,0.0865675531234286,0.6812964677810669,0.6678580546331944,0.49669471153846156,0.48806451612903223,0.9450343535290443,0.6436928313124867,0.5582169077158275,0.5186705132289513,0.05162148486956307,0.5561772086540119
17,kmeans,index,bilstm,256,32,2,0.3346470371146543,0.009147309478316394,32,26,5.318835671655036,0.5170088705279023,0.6360294117647058,0.5889365760610396,0.9060895084372708,0.7138728323699421,0.6660956395224673,0.6001535542400473,0.32229020006587505,0.8327242136001587,0.7138728323694646,0.5961538461538461,0.5501757126122608,0.8800749531542785,0.6770783277270543,0.6376105047258028,0.568107207673755,0.2527343967348484,0.6007985436897447
18,kmeans,index,bilstm,256,32,3,0.44255070252104073,0.008528465010933435,32,27,5.666357940781819,0.5491002826392413,0.6367647058823529,0.5894134477825465,0.9068231841526045,0.7144508670520231,0.6626905624000116,0.5972199280762898,0.32403999765460295,0.8543079495429993,0.7144508670515455,0.5964543269230769,0.550390625,0.8800749531542785,0.677241047825042,0.6383792411155883,0.5686049661098691,0.25330579905211253,0.601195790624421
